Bezeichnung,Beschreibung,Kategorie,Zielgruppe,bisher im IT-Grundschutz
???,Der Eintrag kennzeichnet einen offenen Bedarf an vorgeschlagenen Dokumenten im Rahmen des Informationssicherheits-Managementsystems.,???,???,
Freigabeplan,"Der Freigabeplan stellt sicher, dass Änderungen an IT-Systemen, Anwendungen und Prozessen kontrolliert und nachvollziehbar in den Betrieb überführt werden. Er beschreibt die einzelnen Schritte von der Planung über die Tests bis hin zur Abnahme und der finalen Freigabe. Ziel ist es, Risiken bei der Umsetzung zu minimieren, Abhängigkeiten transparent zu machen und die Qualität der Änderungen zu gewährleisten. Der Schwerpunkt liegt auf der Definition von Rollen, Verantwortlichkeiten und Prüfschritten, die notwendig sind, um einen sicheren und geordneten Übergang in den produktiven Betrieb zu gewährleisten.",Änderungen und Tests,Prozessverantwortliche,
Informationsverbund,"Der Informationsverbund beschreibt die Gesamtheit aller relevanten Informationswerte, technischen Systeme, Anwendungen, Prozesse und Standorte, die im Rahmen des Managementsystems für Informationssicherheit betrachtet werden. Er dient dazu, den Geltungsbereich eindeutig abzugrenzen und sicherzustellen, dass alle sicherheitsrelevanten Komponenten systematisch erfasst und bewertet werden. Durch die klare Festlegung des Informationsverbundes wird Transparenz geschaffen, welche Assets geschützt werden müssen, und es entsteht die Grundlage für Risikoanalysen, Schutzbedarfsfeststellungen und die Auswahl geeigneter Sicherheitsmaßnahmen.",Strategie & Governance,Prozessverantwortliche,
ISMS-Regelwerk,"Das ISMS-Regelwerk meint alle Dokumente zu Regelungen und Verfahren in ihrer Gesamtheit, kein einzelnes Dokument.",Strategie & Governance,Prozessverantwortliche,
Codehistorie,"Die Codehistorie dokumentiert die Entwicklung und Änderungen von Quellcode über den gesamten Lebenszyklus einer Anwendung hinweg. Sie ermöglicht die Nachvollziehbarkeit von Versionen, erleichtert die Rückverfolgung von Fehlern und stellt sicher, dass alle Anpassungen revisionssicher dokumentiert werden. Damit trägt sie maßgeblich zur Integrität und Qualität von Software bei. Nicht betrachtet werden dabei begleitende Projektdokumentationen oder organisatorische Abläufe der Entwicklung. Der Schwerpunkt liegt ausschließlich auf der strukturierten Nachverfolgung technischer Änderungen am Code selbst. Durch diese Abgrenzung wird gewährleistet, dass die Codebasis zuverlässig verwaltet und jederzeit in einen definierten Zustand zurückgesetzt werden kann.",Betrieb & Prozesse,Prozessverantwortliche,
Datensicherungskonzept,"Konzept zur Datenverfügbarkeit und -wiederherstellung: Legt verbindlich fest, welche Daten wie oft (Backup-Frequenz), mit welcher Methode (z.B. voll, differentiell, inkrementell) und wohin gesichert werden. Es definiert zudem die Aufbewahrungsfristen und die Prozesse für die Datenwiederherstellung. Wichtige Kennzahlen sind hier das Recovery Time Objective (RTO – maximale Ausfallzeit) und das Recovery Point Objective (RPO – maximaler Datenverlust).",Betrieb & Prozesse,Betrieb & Prozesse,Prozessverantwortliche
Ergebnisprotokoll,"Das Ergebnisprotokoll hält die wesentlichen Inhalte, Entscheidungen und Maßnahmen aus Besprechungen, Tests oder Audits fest. Es schafft Transparenz über den Verlauf, dokumentiert verbindlich die vereinbarten Schritte und dient als Nachweis für die Nachverfolgung. Dadurch wird sichergestellt, dass Beschlüsse nachvollziehbar bleiben und Verantwortlichkeiten klar zugeordnet werden können. Es enthält die Rahmenbedingungen (wer, was, wann), die durchgeführten Testfälle, die festgestellten Probleme, Schwachstellen oder Abweichungen (inkl. Schweregrad) und die schlussendliche Bewertung.",Betrieb & Prozesse,Betrieb & Prozesse,Prozessverantwortliche
Geschäftsprozesse,"Enthält die Geschäftsprozesse, sowie deren Abhängigkeiten und Definitionen. Die Geschäftsprozesse bilden die Grundlage für das Verständnis, wie Wertschöpfung im Unternehmen entsteht und wie Informationen dabei verarbeitet werden. Ihre Beschreibung dient dazu, Abläufe transparent darzustellen, Verantwortlichkeiten zu klären und Schnittstellen sowie Abhängigkeiten sichtbar zu machen. Dadurch entsteht eine Basis, um Risiken systematisch zu identifizieren und geeignete Sicherheitsmaßnahmen abzuleiten.",Betrieb & Prozesse,Mitarbeitende,
Geschäftsverteilungsplan,"Organigramm mit Aufgaben, Befugnissen und Verantwortlichkeiten (ABV): Definiert und visualisiert die Aufbauorganisation des Unternehmens. Es wird klar geregelt, welche Organisationseinheit und welche Rolle für welche Aufgabenbereiche (insbesondere sicherheitsrelevante) zuständig ist und welche Befugnisse damit verbunden sind. Dies ist die Basis für das Berechtigungsmanagement.",Betrieb & Prozesse,Mitarbeitende,
IT-Betriebskonzept,"Das IT-Betriebskonzept beschreibt die grundlegenden Prinzipien, Verfahren und organisatorischen Regelungen für den sicheren und zuverlässigen Betrieb der IT-Infrastruktur. Es dient als Leitlinie, um die Stabilität, Verfügbarkeit und Sicherheit von IT-Diensten zu gewährleisten und die Einhaltung regulatorischer Anforderungen sicherzustellen. Nicht enthalten sind spezifische technische Handbücher oder detaillierte Konfigurationsanleitungen einzelner Systeme. Der Schwerpunkt liegt auf den Rahmenbedingungen, Verantwortlichkeiten und Vorgehensweisen, die den ordnungsgemäßen Betrieb der IT unterstützen und die Informationssicherheit fest im Betriebsalltag verankern.",Betrieb & Prozesse,Administrierende,
