Begriff,Definition,UUID
Abnahme,"Abnahme beschreibt die formale Prüfung und Bestätigung, dass gelieferte Produkte oder Dienstleistungen die vereinbarten fachlichen, sicherheitsrelevanten und vertraglichen Anforderungen erfüllen, bevor sie in den Betrieb überführt werden. Es grenzt sich von der Freigabe im Change-Management ab, die den Entscheidungsakt zur Inbetriebnahme regelt, und vom übergreifenden Freigabeverfahren, das Verfahren und Regelungen zum Genehmigungsprozess des Managementsystems beschreibt. Beispiel: formale Abnahmeprotokolle mit Nachweisen zu Sicherheitsmerkmalen, Testberichten und Liefergegenständen.",1e7fd1c1-d45f-48c1-a3db-8ad9c9e9cf52
Administration,"Administration beschreibt Verfahren und Regelungen zum Thema ""Administration"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Schwerpunkte sind u. a.: Grundprinzipien der Systemadministration sowie der Umgang mit privilegierten Berechtigungen.",fa8f30ac-003e-4f35-91d8-7040fb573b6f
"Aufgaben, Rollen, Zuständigkeiten","Aufgaben, Rollen, Zuständigkeiten beschreibt Verfahren und Regelungen zur Aufgabenverteilung in der Informationssicherheit, um die Maßnahmen der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Grundlagen und nachgelagerten Aspekten wie Personalzugang. Schwerpunkte sind u. a.: Aufgaben; Rollen; Rollentrennung.",eee896e5-d143-498b-b22f-c3daf3dea98b
Ausfallsicherheit,"Ausfallsicherheit beschreibt die Fähigkeit von Prozessen und Systemarchitekturen, den Betrieb trotz Störungen fortzuführen oder schnell wiederherzustellen, u. a. durch Redundanz, Fehlertoleranz und Resilienz. Sie grenzt sich von Datensicherung ab, die Sicherung und Wiederherstellung von Informationen adressiert, und von Notfallmanagement, das übergreifende Verfahren und Regelungen zum Krisenbetrieb beschreibt. Beispiel: Redundante Auslegung kritischer Komponenten und georedundante Betriebsverfahren.",f05e8f6f-a5f0-41b9-9a37-f859152401aa
Auswahl von Lieferanten,"Auswahl von Lieferanten beschreibt Verfahren und Regelungen zur Beurteilung und Auswahl von Unternehmen als Vertragspartner, einschließlich Eignung, Sicherheit, Compliance und Risiken über den Lebenszyklus. Es grenzt sich von der Auswahl von Produkten und Dienstleistungen ab, die die Bewertung konkreter Leistungen adressiert, sowie von Zusammenarbeit und Kündigung, die die laufende Steuerung bzw. Beendigung der Beziehung regeln. Beispiel: risikobasierte Lieferantenbewertung mit Due-Diligence und Mindestanforderungen.",340195f1-302e-4d8c-bcc5-0975d676d8e7
Auswahl von Produkten und Dienstleistungen,"Auswahl von Produkten und Dienstleistungen beschreibt Verfahren und Regelungen zur sicherheits- und compliancegerechten Bewertung konkreter Leistungen und ihrer Konfiguration. Es grenzt sich von der Auswahl von Lieferanten (Unternehmensbewertung) sowie von Zusammenarbeit und Kündigung (Beziehungssteuerung) ab. Beispiel: Sicherheitsanforderungen in Leistungsbeschreibungen, Nachweisprüfung und Auswahlentscheidungen.",96adc7ae-935e-4dae-83ab-07521980bc56
Auswahl von Produkten und Dienstleistungen - Kündigung,"Auswahl – Kündigung beschreibt Verfahren und Regelungen zur geordneten Beendigung von Leistungen, einschließlich Datenrückgabe, Löschung, Übergang und Risiken durch Abhängigkeiten. Es grenzt sich von der Auswahl (Bewertung vor Vertrag) und der Zusammenarbeit (laufende Steuerung) ab. Beispiel: Exit-Plan mit Datenportabilität, Löschbestätigungen und Entflechtung technischer Zugänge.",32e31c52-6cef-4f86-95e0-84cb877f558a
Auswahl von Produkten und Dienstleistungen - Zusammenarbeit,"Auswahl – Zusammenarbeit beschreibt Verfahren und Regelungen zur Steuerung der laufenden Zusammenarbeit mit Anbietenden, einschließlich Leistungserbringung, Nachweisen, Änderungen und Eskalationen. Es grenzt sich von der initialen Auswahl (Bewertung vor Vertrag) und der Kündigung (Beendigung) ab. Beispiel: regelmäßige Service-Reviews, Berichtswesen und Maßnahmenverfolgung.",70b4f78c-736e-4e2b-b2bf-367e4b41590d
Authentifizierung,"Authentifizierung beschreibt den technischen Nachweis einer Identität gegenüber einem System mittels Faktoren (z. B. Wissen, Besitz, Inhärenz) und Protokollen. Sie grenzt sich von Authentisierung ab, die Verfahren und Regelungen zum Einsatz, zur Verwaltung und zur organisatorischen Nutzung von Authentisierungs­mitteln beschreibt. Beispiel: Einsatz von Mehr-Faktor-Mechanismen und sicheren Protokollen an Systemgrenzen.",618d8261-144b-478d-a003-dde3c830b0e6
Authentisierung,"Authentisierung beschreibt Verfahren und Regelungen zur Bereitstellung, Verwaltung und Nutzung von Authentisierungs­mitteln durch natürliche Personen in der Institution (z. B. Ausgabe, Bindung an Identitäten, Rücknahme). Sie grenzt sich von Authentifizierung ab, die den technischen Nachweis gegenüber Systemen behandelt. Beispiel: Ausgabe- und Widerrufsverfahren für Token oder Smartcards mit Identitätsprüfung.",44f9534d-e992-4c9c-8170-6e32f350cbd7
Bedarfserfassung,"Bedarfserfassung beschreibt Verfahren und Regelungen zum Thema ""Bedarfserfassung"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Grundlagen und nachgelagerten Aspekten wie Auswahl von Lieferanten. Schwerpunkte sind u. a.: Erfassung des Bedarfes; Dokumentation des Rechtsraums und der Datenlokation; Vereinbarung des Rechtsraums und der Datenlokation.",47a13147-f7c8-47cf-ab97-1ba09b52a759
